"";"IDtree";"former_id";"dbh";"Essence_ID";"NomLatin";"NomVernaculaire"
"213";"12_4_8_10";182;650;"ASA";"Celtis zenkeri";"Asan"
"214";"12_4_8_13";183;300;"KOB";"Nesogordonia papaverifera";"Kotibe"
"215";"12_4_8_7";186;184;"BA";"Celtis mildbraedii";"Ba"
"216";"12_4_8_8";187;400;"LON";"Celtis adolphi-frederici";"Lohonfé"
"217";"12_4_8_9";184;167;"DIF";"Morus mesozygia";"Difou"
"218";"12_4_9_12";174;160;"BA";"Celtis mildbraedii";"Ba"
"219";"12_4_9_13";172;191;"BA";"Celtis mildbraedii";"Ba"
"220";"13_1_13_2";181;461;"SAM";"Triplochiton scleroxylon";"Samba"
"221";"13_1_13_5";179;600;"SAM";"Triplochiton scleroxylon";"Samba"
"222";"13_1_14_4";194;800;"SAM";"Triplochiton scleroxylon";"Samba"
"223";"13_1_18_2";211;390;"KEK";"Holoptelea grandis";"Kekele"
"224";"13_1_22_2";241;850;"KEK";"Holoptelea grandis";"Kekele"
"225";"13_1_7_4";147;412;"LOL";"Lannea welwitschii";"Loloti"
"226";"13_2_10_4";150;188;"ETI";"Copaïfera salikounda";"Etimoé"
"227";"13_2_11_3";195;688;"IRO";"Chlorophora regia, C. excelsa";"Iroko"
"228";"13_2_12_1";196;325;"AZD";"Afzelia bella";"Azodau"
"229";"13_2_12_10";212;600;"KOB";"Nesogordonia papaverifera";"Kotibe"
"230";"13_2_12_12";218;656;"BA";"Celtis mildbraedii";"Ba"
"231";"13_2_12_2";197;602;"BA";"Celtis mildbraedii";"Ba"
"232";"13_2_12_9";203;146;"KOB";"Nesogordonia papaverifera";"Kotibe"
"233";"13_2_14_1";152;210;"BA";"Celtis mildbraedii";"Ba"
"234";"13_2_14_3";234;700;"SAM";"Triplochiton scleroxylon";"Samba"
"235";"13_2_16_7";358;405;"LON";"Celtis adolphi-frederici";"Lohonfé"
"236";"13_2_16_9";359;330;"BA";"Celtis mildbraedii";"Ba"
"237";"13_2_17_6";856;311;"KEK";"Holoptelea grandis";"Kekele"
"238";"13_2_18_3";277;534;"BET";"Mansonia altissima";"Bete"
